prestador	siges_sucursal_id	empresa	sucursal	lat	lon	fuente
SAN JUAN	3618	Gobierno de San Juan	Escuela Agrotecnica Los Pioneros	-31.6492882	-68.5013693	https://www.openstreetmap.org/node/6704791375
SAN JUAN	12182	Gobierno de San Juan	Escuela Fray Luis Beltran	-31.5766223	-68.5190569	https://www.openstreetmap.org/way/377868679
SAN JUAN	8829	Gobierno de San Juan	ENI N.º 32	-30.2115993	-69.1365034	https://www.openstreetmap.org/node/6447069691
SAN JUAN	4881	Gobierno de San Juan	Escuela Pascual Chena	-31.7326772	-68.2673354	https://www.openstreetmap.org/way/693842086
SAN JUAN	8674	Gobierno de San Juan	ENI N.º 39	-31.5790444	-68.5501241	https://www.openstreetmap.org/way/712597496
SAN JUAN	3771	Gobierno de San Juan	Escuela Cecilio Avila	-31.561916	-68.5092554	https://www.openstreetmap.org/way/711902953
SAN JUAN	3428	Gobierno de San Juan	Municipalidad de Rawson	-31.5830858	-68.5414047	https://www.openstreetmap.org/way/257713519
SAN JUAN	9066	Gobierno de San Juan	Escuela Niñas de Ayohuma	-31.5825702	-68.5599715	https://www.openstreetmap.org/node/6699821992
SAN JUAN	8367	Gobierno de San Juan	Escuela Sec. Barrio Valle Grande	-31.5672718	-68.5998147	https://www.openstreetmap.org/node/6699835990
SAN JUAN	12356	Gobierno de San Juan	Escuela Juana C. Aberastain	-31.6485939	-68.5018913	https://www.openstreetmap.org/way/712195305
SAN JUAN	5257	Gobierno de San Juan	Escuela Pcia. De Misiones	-31.706756	-68.4848591	https://www.openstreetmap.org/way/713266763
SAN JUAN	3558	Gobierno de San Juan	Escuela Albergue Rodeo	-30.2124357	-69.1378356	https://www.openstreetmap.org/way/687713380
SAN JUAN	3802	Gobierno de San Juan	Escuela Bachillerato Columna Cabot	-30.4152512	-69.2223161	https://www.openstreetmap.org/way/687481263
SAN JUAN	5049	Gobierno de San Juan	Escuela Leopoldo Corretjer	-31.5656733	-68.539273	https://www.openstreetmap.org/node/6702072497
