prestador	tipo	siges_sucursal_id	empresa	sucursal	decision	motivo	discrepancia_km_o_location_type	formatted_address
MENDOZA	pin	6635	Cepas Argentinas	Planta Mendoza ( Rivadavia)	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	9404.243 km / RANGE_INTERPOLATED	San Isidro 2200, M5577 Rivadavia, Mendoza, Argentina
MENDOZA	pin	10554	Arcos Dorados (Mc Donalds)	TMZ	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	9361.168 km / GEOMETRIC_CENTER	Lateral Acceso Sur, M5501 Godoy Cruz, Mendoza, Argentina
MENDOZA	pin	10631	AMI MUSIC	A26 - DASH Mendoza	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	9354.652 km / GEOMETRIC_CENTER	Coronel Moldes, M5500 Capital, Mendoza, Argentina
MENDOZA	pin	11269	EANA	Mendoza - Aeropuerto Internacional El Plumerillo	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	9353.67 km / GEOMETRIC_CENTER	El Plumerillo International Airport - Mendoze MDZ, Acceso A Aeropuerto Internacional Gabrielli F. J., Las Heras, Mendoza, Argentina
SM TUCUMAN	pin	3706	Salta Refrescos (Región Sur)	Concepción	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	12024.449 km / RANGE_INTERPOLATED	Los Ceibos 145, T4107CXC Yerba Buena, Tucumán, Argentina
SM TUCUMAN	pin	9821	Citrusvil S.A.	Finca San Pablo	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	9060.606 km / GEOMETRIC_CENTER	RP301, Ingenio San Pablo, Tucumán, Argentina
SM TUCUMAN	pin	7713	Citrusvil S.A.	Fca. Santo Domingo	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1265.463 km / GEOMETRIC_CENTER	Ruta Nacional 38, Santo Domingo, Municipio de Acheral, Departamento Monteros, Tucumán, T4142, Argentina
CDU	pin	8673	SOYCHU	Gualeguay	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	10166.432 km / RANGE_INTERPOLATED	San José 480, E2840 Gualeguay, Entre Ríos, Argentina
LA RIOJA	pin	11851	Generación Mediterránea	LA RIOJA	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	9176.25 km / APPROXIMATE	La Rioja, La Rioja Province, Argentina
LA RIOJA	pin	11073	Diarco	Chilecito	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	9115.943 km / GEOMETRIC_CENTER	RN40, Chilecito, La Rioja, Argentina
SAN RAFAEL	pin	8888	Pernod Ricard	Bodega Mumm (San Rafael)	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	9531.638 km / GEOMETRIC_CENTER	Av. Domingo Faustino Sarmiento, Mendoza, Argentina
VIEDMA	pin	11184	EDERSA S.A.	GRAL. CONESA	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	10223.745 km / APPROXIMATE	General Conesa, Río Negro Province, Argentina
MENDOZA	pin	10515	Natura	Abigail Bittar	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	10924.092 km / GEOMETRIC_CENTER	Olite, San Rafael, Distrito Ciudad de San Rafael, Departamento San Rafael, Mendoza, M5600, Argentina
MENDOZA	pin	321	Cepas Argentinas	Mendoza	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	9404.243 km / RANGE_INTERPOLATED	San Isidro 2200, M5577 Rivadavia, Mendoza, Argentina
MENDOZA	pin	6635	Cepas Argentinas	Planta Mendoza ( Rivadavia)	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	9404.243 km / RANGE_INTERPOLATED	San Isidro 2200, M5577 Rivadavia, Mendoza, Argentina
MENDOZA	pin	10554	Arcos Dorados (Mc Donalds)	TMZ	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	9361.168 km / GEOMETRIC_CENTER	Lateral Acceso Sur, M5501 Godoy Cruz, Mendoza, Argentina
MENDOZA	pin	10631	AMI MUSIC	A26 - DASH Mendoza	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	9354.652 km / GEOMETRIC_CENTER	Coronel Moldes, M5500 Capital, Mendoza, Argentina
MENDOZA	pin	11269	EANA	Mendoza - Aeropuerto Internacional El Plumerillo	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	9353.67 km / GEOMETRIC_CENTER	El Plumerillo International Airport - Mendoze MDZ, Acceso A Aeropuerto Internacional Gabrielli F. J., Las Heras, Mendoza, Argentina
SM TUCUMAN	pin	3706	Salta Refrescos (Región Sur)	Concepción	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	12024.449 km / RANGE_INTERPOLATED	Los Ceibos 145, T4107CXC Yerba Buena, Tucumán, Argentina
SM TUCUMAN	pin	9821	Citrusvil S.A.	Finca San Pablo	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	9060.606 km / GEOMETRIC_CENTER	RP301, Ingenio San Pablo, Tucumán, Argentina
SM TUCUMAN	pin	7713	Citrusvil S.A.	Fca. Santo Domingo	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1265.463 km / GEOMETRIC_CENTER	Ruta Nacional 38, Santo Domingo, Municipio de Acheral, Departamento Monteros, Tucumán, T4142, Argentina
